timestamp, angular_velocity_x, angular_velocity_y, angular_velocity_z, linear_acceleration_x, linear_acceleration_y, linear_acceleration_z
1520530962735370731, -0.185356011869515, 0.018375811521546746, 0.010918960469324878, -1.088536376953125, -0.264649658203125, 10.25307861328125
1520530962740386731, -0.1874865407415784, 0.0290284558818637, 0.02689792700980031, -1.101708984375, -0.26105712890625, 10.285411376953126
1520530962745401731, -0.1901497018316576, 0.042077945223251964, 0.04447479020432328, -1.1256591796875, -0.276624755859375, 10.25307861328125
1520530962750418731, -0.18961706961364178, 0.0636495500528938, 0.06045375674479871, -1.1064990234375, -0.295784912109375, 9.998009033203125
1520530962755433731, -0.1829591668884437, 0.08948221262666241, 0.07936220048436131, -1.1831396484375, -0.250279541015625, 9.969268798828125
1520530962760449731, -0.1765675802722535, 0.10199906975003482, 0.09480853480682089, -1.3316308593750001, -0.35685791015625, 10.11895751953125
1520530962765464731, -0.1709749419830871, 0.10519486305812992, 0.10626012749416161, -1.440604248046875, -0.45385620117187503, 10.3129541015625
1520530962770479731, -0.16777914867499202, 0.10146643753201898, 0.11584750741844686, -1.414259033203125, -0.5185217285156251, 10.402767333984375
1520530962775497731, -0.16378440703987315, 0.0950748509158288, 0.12383699068868459, -1.299298095703125, -0.5484594726562501, 10.50695068359375
1520530962780512731, -0.16058861373177807, 0.08522115488253562, 0.132891738394954, -1.229842529296875, -0.51492919921875, 10.65065185546875
1520530962785528731, -0.1563275559876513, 0.06791060779702057, 0.14221280221023133, -1.189127197265625, -0.41433837890625, 10.666219482421875
1520530962790543731, -0.1464738599543581, 0.05672533121868778, 0.1531317626795562, -1.2070898437500002, -0.367635498046875, 10.699749755859376
1520530962795559731, -0.13795174446610456, 0.04713795129440252, 0.16032229762277014, -1.234632568359375, -0.3879931640625, 10.668614501953126
1520530962800575731, -0.12676646788777174, 0.0391484680241648, 0.16325177482185732, -1.227447509765625, -0.40475830078125, 10.62670166015625
1520530962805590731, -0.11584750741844686, 0.03542004249805387, 0.16618125202094447, -1.2202624511718752, -0.48379394531250003, 10.568023681640625
1520530962810606731, -0.1059938113851537, 0.03382214584400633, 0.16911072922003165, -1.2214599609375, -0.496966552734375, 10.59556640625
1520530962815621731, -0.09214537371674165, 0.033555829734998405, 0.16911072922003165, -1.234632568359375, -0.5053491210937501, 10.601553955078126
1520530962820638731, -0.08229167768344847, 0.02476739813773692, 0.16671388423896033, -1.20469482421875, -0.532891845703125, 10.6290966796875
1520530962825654731, -0.07004113666908397, 0.013582121559404116, 0.1653823036939207, -1.184337158203125, -0.566422119140625, 10.660231933593751
1520530962830669731, -0.06045375674479871, 0.004261057744126781, 0.16458335536689694, -1.18074462890625, -0.611927490234375, 10.66502197265625
1520530962835685731, -0.04953479627547384, -0.006657902725198096, 0.16458335536689694, -1.249002685546875, -0.6466552734375001, 10.639874267578126
1520530962840701731, -0.03808320358813311, -0.01651159875849128, 0.1619201942768177, -1.3867163085937502, -0.705333251953125, 10.649454345703125
1520530962845715731, -0.026098978682776535, -0.024501082028728992, 0.15366439489757205, -1.4597644042968752, -0.81670166015625, 10.663824462890625
1520530962850732731, -0.017576863194522972, -0.031691616971942935, 0.14674017606336603, -1.4226416015625, -0.844244384765625, 10.750045166015626
1520530962855748731, -0.009321063815277334, -0.03994741635118858, 0.1352885833760253, -1.419049072265625, -0.8286767578125, 10.764415283203126
1520530962860763731, 0.0023968449810713144, -0.04633900296737875, 0.12250541014364497, -1.332828369140625, -0.7616162109375001, 10.764415283203126
1520530962865778731, 0.011185276578332801, -0.05299690569257685, 0.11424961076439932, -1.320853271484375, -0.6945556640625, 10.649454345703125
1520530962870794731, 0.023702133701705222, -0.05459480234662439, 0.10679275971217746, -1.3232482910156251, -0.6167175292968751, 10.6099365234375
1520530962875810731, 0.0391484680241648, -0.053529537910592694, 0.09960222476896352, -1.292113037109375, -0.5736071777343751, 10.556048583984376
1520530962880826731, 0.056192699000671927, -0.05246427347456099, 0.08788431597261487, -1.29570556640625, -0.566422119140625, 10.469827880859375
1520530962885842731, 0.07403587830420283, -0.050067428493489684, 0.080427464920393, -1.351988525390625, -0.54366943359375, 10.362052001953126
1520530962890857731, 0.09187905760773372, -0.04607268685837083, 0.07323692997717905, -1.304088134765625, -0.52929931640625, 10.3704345703125
1520530962895872731, 0.10705907582118539, -0.04447479020432328, 0.06844324001503643, -1.30049560546875, -0.59635986328125, 10.390792236328126
1520530962900889731, 0.12250541014364497, -0.04074636467821235, 0.06444849837991756, -1.308878173828125, -0.6466552734375001, 10.397977294921876
1520530962905904731, 0.13608753170304907, -0.036218990825077645, 0.06098638896281456, -1.3232482910156251, -0.69216064453125, 10.374027099609375
1520530962910920731, 0.1475391243903898, -0.03542004249805387, 0.058855860090751166, -1.39869140625, -0.7616162109375001, 10.386002197265626
1520530962915935731, 0.15446334322459582, -0.03328951362599048, 0.053529537910592694, -1.47772705078125, -0.839454345703125, 10.38719970703125
1520530962920952731, 0.15925703318673845, -0.032756881407974635, 0.04846953183944214, -1.44419677734375, -0.8837622070312501, 10.484197998046875
